bicycle_count,date,year,coordinates,long,lat
7000,20140924,2014,POINT (12.590719041767308 55.68931623131201),12.590719041767308,55.68931623131201
6100,20140924,2014,POINT (12.589518813014738 55.68894827520717),12.589518813014738,55.68894827520717
5700,20180612,2018,POINT (12.484583027650348 55.70805537395939),12.484583027650348,55.70805537395939
900,20180612,2018,POINT (12.4855329354391 55.70976521824148),12.4855329354391,55.70976521824148
8000,20150506,2015,POINT (12.579461293208487 55.700627027332295),12.579461293208487,55.700627027332295
8300,20160428,2016,POINT (12.571186662137483 55.683190901632436),12.571186662137483,55.683190901632436
11600,20180925,2018,POINT (12.538025079903358 55.696914450998705),12.538025079903358,55.696914450998705
12300,20140429,2014,POINT (12.535273886518384 55.696132787914344),12.535273886518384,55.696132787914344
3300,20130507,2013,POINT (12.49315820661436 55.693685089621965),12.49315820661436,55.693685089621965
4700,20170911,2017,POINT (12.495342056869038 55.693597343977444),12.495342056869038,55.693597343977444
1000,20110412,2011,POINT (12.497769478098519 55.659292513742606),12.497769478098519,55.659292513742606
4300,20190528,2019,POINT (12.60574321508488 55.657260432173246),12.60574321508488,55.657260432173246
6800,20140410,2014,POINT (12.587342446081324 55.66691383197868),12.587342446081324,55.66691383197868
4200,20190523,2019,POINT (12.583583838377281 55.66414469082948),12.583583838377281,55.66414469082948
5300,20190521,2019,POINT (12.582039522933968 55.665104719928856),12.582039522933968,55.665104719928856
8200,20190523,2019,POINT (12.584629569645477 55.664140117209676),12.584629569645477,55.664140117209676
4400,20180508,2018,POINT (12.59154125291609 55.70944779770958),12.59154125291609,55.70944779770958
700,20101004,2010,POINT (12.584174930487338 55.680791300115125),12.584174930487338,55.680791300115125
3400,20100908,2010,POINT (12.583417931787887 55.681610575266234),12.583417931787887,55.681610575266234
1700,20100906,2010,POINT (12.582490054772785 55.6818968174756),12.582490054772785,55.6818968174756
500,20150527,2015,POINT (12.489303890281542 55.717715638904224),12.489303890281542,55.717715638904224
600,20150527,2015,POINT (12.491508894598597 55.716956284997956),12.491508894598597,55.716956284997956
400,20150527,2015,POINT (12.486844629896103 55.71713050273887),12.486844629896103,55.71713050273887
5800,20180529,2018,POINT (12.489715971581262 55.68808814081064),12.489715971581262,55.68808814081064
6200,20180529,2018,POINT (12.490911684481938 55.686688138546536),12.490911684481938,55.686688138546536
3000,20180529,2018,POINT (12.490660151008592 55.687971934623846),12.490660151008592,55.687971934623846
4700,20190522,2019,POINT (12.611795896756906 55.666175788426564),12.611795896756906,55.666175788426564
4700,20190522,2019,POINT (12.605639564614512 55.66818018095424),12.605639564614512,55.66818018095424
11800,20161004,2016,POINT (12.544475537853215 55.705170564384275),12.544475537853215,55.705170564384275
2700,20150507,2015,POINT (12.521283407989138 55.70526154727942),12.521283407989138,55.70526154727942
2400,20190612,2019,POINT (12.605265296582411 55.64646137262146),12.605265296582411,55.64646137262146
1600,20140520,2014,POINT (12.605856331506724 55.64590958652489),12.605856331506724,55.64590958652489
2800,20130528,2013,POINT (12.531235914255294 55.71532553515471),12.531235914255294,55.71532553515471
2700,20150415,2015,POINT (12.543201026655272 55.71936572425794),12.543201026655272,55.71936572425794
3400,20161005,2016,POINT (12.532071522796448 55.715896222547386),12.532071522796448,55.715896222547386
2800,20150520,2015,POINT (12.514893196195628 55.70788398818873),12.514893196195628,55.70788398818873
1600,20110414,2011,POINT (12.523650717107431 55.65285505502165),12.523650717107431,55.65285505502165
5400,20140917,2014,POINT (12.54497700200651 55.667422795221945),12.54497700200651,55.667422795221945
900,20160927,2016,POINT (12.540496972589725 55.651970939825276),12.540496972589725,55.651970939825276
5100,20171005,2017,POINT (12.539487487885175 55.666979939762044),12.539487487885175,55.666979939762044
1900,20160519,2016,POINT (12.568826028418368 55.71450737748295),12.568826028418368,55.71450737748295
2100,20160420,2016,POINT (12.555746125025516 55.718618467996556),12.555746125025516,55.718618467996556
3000,20170831,2017,POINT (12.578373442492405 55.72126570698398),12.578373442492405,55.72126570698398
7600,20191001,2019,POINT (12.595226988684232 55.667020452809425),12.595226988684232,55.667020452809425
800,20170608,2017,POINT (12.628440873222859 55.64618996210789),12.628440873222859,55.64618996210789
1100,20170508,2017,POINT (12.616845667447091 55.675888554488694),12.616845667447091,55.675888554488694
800,20170503,2017,POINT (12.635192471165215 55.64530091874359),12.635192471165215,55.64530091874359
1800,20120913,2012,POINT (12.538803866634439 55.70024300877577),12.538803866634439,55.70024300877577
900,20180523,2018,POINT (12.473736461580161 55.71213509764788),12.473736461580161,55.71213509764788
2900,20180912,2018,POINT (12.571458370335046 55.668829873235374),12.571458370335046,55.668829873235374
4200,20190523,2019,POINT (12.56777880564525 55.65887915773498),12.56777880564525,55.65887915773498
900,20190612,2019,POINT (12.61500485622894 55.643691853166416),12.61500485622894,55.643691853166416
2500,20170613,2017,POINT (12.592040660012517 55.681512817231706),12.592040660012517,55.681512817231706
4300,20180514,2018,POINT (12.511519369127251 55.66555311104345),12.511519369127251,55.66555311104345
3300,20160927,2016,POINT (12.538421609465432 55.65241624728098),12.538421609465432,55.65241624728098
1700,20150527,2015,POINT (12.531323367163948 55.704774374422136),12.531323367163948,55.704774374422136
4300,20180524,2018,POINT (12.561919517394564 55.71013117520842),12.561919517394564,55.71013117520842
2200,20180523,2018,POINT (12.468043099475016 55.71263450395382),12.468043099475016,55.71263450395382
1800,20090917,2009,POINT (12.587616104484276 55.63027879945794),12.587616104484276,55.63027879945794
5500,20110505,2011,POINT (12.518026268927363 55.67151949576916),12.518026268927363,55.67151949576916
6300,20140423,2014,POINT (12.545730636616293 55.705145123139445),12.545730636616293,55.705145123139445
6400,20190911,2019,POINT (12.593705328086891 55.69622391614255),12.593705328086891,55.69622391614255
6700,20150507,2015,POINT (12.518858573054032 55.706377954644395),12.518858573054032,55.706377954644395
25500,20150922,2015,POINT (12.561195760549646 55.68074421479271),12.561195760549646,55.68074421479271
9000,20161004,2016,POINT (12.545798128449192 55.70442335342108),12.545798128449192,55.70442335342108
5700,20180912,2018,POINT (12.567483813255741 55.672022904184544),12.567483813255741,55.672022904184544
4800,20090929,2009,POINT (12.580095539134035 55.68828869168699),12.580095539134035,55.68828869168699
1700,20160503,2016,POINT (12.57541099599852 55.63954840733062),12.57541099599852,55.63954840733062
5400,20190521,2019,POINT (12.58172954609748 55.66805700479699),12.58172954609748,55.66805700479699
100,20100511,2010,POINT (12.581137487244343 55.63441928678999),12.581137487244343,55.63441928678999
2300,20140522,2014,POINT (12.62087294905934 55.65453520056959),12.62087294905934,55.65453520056959
2300,20170601,2017,POINT (12.550366602848257 55.647595570233214),12.550366602848257,55.647595570233214
4100,20130904,2013,POINT (12.554639208947052 55.67299911052489),12.554639208947052,55.67299911052489
3600,20190917,2019,POINT (12.582258079587767 55.670654077217044),12.582258079587767,55.670654077217044
6500,20130502,2013,POINT (12.54997708307213 55.67331991668567),12.54997708307213,55.67331991668567
2700,20151006,2015,POINT (12.556081628245204 55.69091284785694),12.556081628245204,55.69091284785694
2700,20121008,2012,POINT (12.555510462761374 55.69112195571859),12.555510462761374,55.69112195571859
2600,20140423,2014,POINT (12.544532301973394 55.697722351301124),12.544532301973394,55.697722351301124
400,20090618,2009,POINT (12.543789118019289 55.6982942283723),12.543789118019289,55.6982942283723
1200,20100422,2010,POINT (12.542795728820279 55.698814658788066),12.542795728820279,55.698814658788066
8700,20151006,2015,POINT (12.558292418221779 55.68976303529482),12.558292418221779,55.68976303529482
4800,20090616,2009,POINT (12.563115019738303 55.687725911306714),12.563115019738303,55.687725911306714
1700,20121011,2012,POINT (12.559521247464929 55.68704277071546),12.559521247464929,55.68704277071546
6600,20151006,2015,POINT (12.556968935477164 55.688918111425224),12.556968935477164,55.688918111425224
6500,20150930,2015,POINT (12.559133710038084 55.69116489103006),12.559133710038084,55.69116489103006
4400,20150930,2015,POINT (12.558650695782458 55.69259006402819),12.558650695782458,55.69259006402819
1000,20100420,2010,POINT (12.55023213583513 55.69470342576231),12.55023213583513,55.69470342576231
2500,20100421,2010,POINT (12.543006097545227 55.69466140746145),12.543006097545227,55.69466140746145
400,20100420,2010,POINT (12.540184719694908 55.69751994349771),12.540184719694908,55.69751994349771
5500,20120918,2012,POINT (12.543439094794008 55.6975660015667),12.543439094794008,55.6975660015667
5500,20090609,2009,POINT (12.543176705444226 55.70066591405134),12.543176705444226,55.70066591405134
700,20090611,2009,POINT (12.546325486638654 55.70091247988645),12.546325486638654,55.70091247988645
6500,20140423,2014,POINT (12.55221192858649 55.697888963995155),12.55221192858649,55.697888963995155
6500,20140423,2014,POINT (12.551928783743692 55.697898379062565),12.551928783743692,55.697898379062565
900,20090617,2009,POINT (12.558288208738542 55.69007236180831),12.558288208738542,55.69007236180831
100,20090617,2009,POINT (12.559191284336015 55.69035693753038),12.559191284336015,55.69035693753038
2500,20090610,2009,POINT (12.549414939279679 55.699115783767304),12.549414939279679,55.699115783767304
400,20140617,2014,POINT (12.547144644591436 55.70088306104355),12.547144644591436,55.70088306104355
5400,20120919,2012,POINT (12.520159815694322 55.70138864515418),12.520159815694322,55.70138864515418
7800,20120919,2012,POINT (12.525986826540741 55.70476982425059),12.525986826540741,55.70476982425059
17800,20120918,2012,POINT (12.549345532644908 55.694779246557516),12.549345532644908,55.694779246557516
