2022-11-03 12:19:15,149 INFO osmnx Configured OSMnx
2022-11-03 12:23:48,624 INFO osmnx Created edges GeoDataFrame from graph
2022-11-03 12:24:11,183 INFO osmnx Converted MultiDiGraph to undirected MultiGraph
2022-11-03 12:24:12,034 INFO osmnx Found nearest node (7314487758) to point [55.5996380462652, 12.561817166048037]
2022-11-03 12:24:12,044 INFO osmnx Found nearest node (671542014) to point [55.60355014061953, 12.58841323375925]
2022-11-03 12:24:12,054 INFO osmnx Found nearest node (281692327) to point [55.607456535253, 12.61501470373638]
2022-11-03 12:24:12,064 INFO osmnx Found nearest node (288267997) to point [55.61135722817742, 12.641621569997367]
2022-11-03 12:24:12,075 INFO osmnx Found nearest node (1139339098) to point [55.59874884387413, 12.448422526633735]
2022-11-03 12:24:12,085 INFO osmnx Found nearest node (1139339098) to point [55.602685216821165, 12.475006431198311]
2022-11-03 12:24:12,094 INFO osmnx Found nearest node (1139339098) to point [55.60661589586368, 12.501595768582277]
2022-11-03 12:24:12,105 INFO osmnx Found nearest node (4375675313) to point [55.61054087900324, 12.528190532838497]
2022-11-03 12:24:12,115 INFO osmnx Found nearest node (7314487758) to point [55.61446016424333, 12.554790718009627]
2022-11-03 12:24:12,125 INFO osmnx Found nearest node (671542014) to point [55.618373749589466, 12.581396318128109]
2022-11-03 12:24:12,135 INFO osmnx Found nearest node (118897) to point [55.62228163304905, 12.608007327216178]
2022-11-03 12:24:12,145 INFO osmnx Found nearest node (288267997) to point [55.626183812631574, 12.634623739285868]
2022-11-03 12:24:12,155 INFO osmnx Found nearest node (9851999311) to point [55.63008028634847, 12.661245548339018]
2022-11-03 12:24:12,165 INFO osmnx Found nearest node (1139339098) to point [55.6135645393295, 12.441352583915949]
2022-11-03 12:24:12,175 INFO osmnx Found nearest node (1139339098) to point [55.61750241319436, 12.467946001254559]
2022-11-03 12:24:12,185 INFO osmnx Found nearest node (1139339098) to point [55.62143459099722, 12.494544858150578]
2022-11-03 12:24:12,195 INFO osmnx Found nearest node (147478) to point [55.62536107073724, 12.521149148651071]
2022-11-03 12:24:12,206 INFO osmnx Found nearest node (298774045) to point [55.629281850415495, 12.547758866792849]
2022-11-03 12:24:12,217 INFO osmnx Found nearest node (530639624) to point [55.633196928035126, 12.574374006602502]
2022-11-03 12:24:12,229 INFO osmnx Found nearest node (5481050548) to point [55.6371063016012, 12.600994562096393]
2022-11-03 12:24:12,240 INFO osmnx Found nearest node (288267997) to point [55.64100996912077, 12.627620527280664]
2022-11-03 12:24:12,249 INFO osmnx Found nearest node (9851999311) to point [55.644907928602876, 12.654251896151228]
2022-11-03 12:24:12,261 INFO osmnx Found nearest node (93028837) to point [55.63231917338584, 12.460880139268763]
2022-11-03 12:24:12,270 INFO osmnx Found nearest node (6370761050) to point [55.6362528512365, 12.487488522934967]
2022-11-03 12:24:12,280 INFO osmnx Found nearest node (282838264) to point [55.64018082886303, 12.514102346948885]
2022-11-03 12:24:12,289 INFO osmnx Found nearest node (8459772) to point [55.644103104264175, 12.540721605341487]
2022-11-03 12:24:12,299 INFO osmnx Found nearest node (3835181465) to point [55.64801967544062, 12.567346292133504]
2022-11-03 12:24:12,308 INFO osmnx Found nearest node (1573491374) to point [55.651930540395064, 12.593976401335418]
2022-11-03 12:24:12,319 INFO osmnx Found nearest node (7469744) to point [55.655835697132176, 12.620611926947468]
2022-11-03 12:24:12,329 INFO osmnx Found nearest node (9611159086) to point [55.659735143658615, 12.64725286295965]
2022-11-03 12:24:12,339 INFO osmnx Found nearest node (272862999) to point [55.647135496872494, 12.453808838151167]
2022-11-03 12:24:12,348 INFO osmnx Found nearest node (4610694253) to point [55.65107067605999, 12.480426755852914]
2022-11-03 12:24:12,358 INFO osmnx Found nearest node (6026909829) to point [55.655000152860715, 12.507050120656658]
2022-11-03 12:24:12,367 INFO osmnx Found nearest node (4329575146) to point [55.65892392527098, 12.53367892658753]
2022-11-03 12:24:12,376 INFO osmnx Found nearest node (118732) to point [55.662841991289106, 12.560313167660386]
2022-11-03 12:24:12,386 INFO osmnx Found nearest node (4927512200) to point [55.66675434891539, 12.586952837879835]
2022-11-03 12:24:12,395 INFO osmnx Found nearest node (17232420) to point [55.670660996152115, 12.6135979312402]
2022-11-03 12:24:12,404 INFO osmnx Found nearest node (698679) to point [55.674561931003545, 12.64024844172556]
2022-11-03 12:24:12,414 INFO osmnx Found nearest node (9665842454) to point [55.66195138313031, 12.446732090800165]
